kpi_name,date,anomaly_severity,anomaly_confidence,total_deviation,total_deviation_pct,status,summary,dimensions_analysed,driver_1_dimension,driver_1_segment,driver_1_contribution_pct,driver_1_deviation,driver_2_dimension,driver_2_segment,driver_2_contribution_pct,driver_2_deviation,driver_3_dimension,driver_3_segment,driver_3_contribution_pct,driver_3_deviation
revenue_per_order,2011-01-16,low,0.652,204.62604226006283,58.09764280534103,manual_review_required,revenue_per_order anomaly on 2011-01-16 requires manual investigation - ratio KPI cannot be directly segmented.,,,,,,,,,,,,,
product_revenue_concentration,2011-02-13,low,0.54,0.0836000548420791,42.30406248951353,manual_review_required,product_revenue_concentration anomaly on 2011-02-13 requires manual investigation - ratio KPI cannot be directly segmented.,,,,,,,,,,,,,
avg_unit_price,2011-03-13,low,0.531,0.5607334457514674,30.66337917011328,manual_review_required,avg_unit_price anomaly on 2011-03-13 requires manual investigation - ratio KPI cannot be directly segmented.,,,,,,,,,,,,,
product_return_rate,2011-04-10,low,0.699,0.1251030219780219,60.26468155500412,manual_review_required,product_return_rate anomaly on 2011-04-10 requires manual investigation - ratio KPI cannot be directly segmented.,,,,,,,,,,,,,
repeat_customer_rate,2011-05-29,low,0.586,0.0723073456511942,44.01316691811823,manual_review_required,repeat_customer_rate anomaly on 2011-05-29 requires manual investigation - ratio KPI cannot be directly segmented.,,,,,,,,,,,,,
weekend_revenue_share,2011-06-05,medium,0.531,0.1324073932662438,154.24702678504244,manual_review_required,weekend_revenue_share anomaly on 2011-06-05 requires manual investigation - ratio KPI cannot be directly segmented.,,,,,,,,,,,,,
product_revenue_concentration,2011-06-12,critical,0.99,0.2805748937617565,141.97906761075004,manual_review_required,product_revenue_concentration anomaly on 2011-06-12 requires manual investigation - ratio KPI cannot be directly segmented.,,,,,,,,,,,,,
avg_unit_price,2011-06-19,high,0.808,0.7804152147660639,42.67654769268698,manual_review_required,avg_unit_price anomaly on 2011-06-19 requires manual investigation - ratio KPI cannot be directly segmented.,,,,,,,,,,,,,
repeat_customer_rate,2011-07-03,low,0.696,0.0738095238095238,44.927536231884055,manual_review_required,repeat_customer_rate anomaly on 2011-07-03 requires manual investigation - ratio KPI cannot be directly segmented.,,,,,,,,,,,,,
repeat_customer_rate,2011-08-07,low,0.504,-0.0586751532296086,-35.71531066150093,manual_review_required,repeat_customer_rate anomaly on 2011-08-07 requires manual investigation - ratio KPI cannot be directly segmented.,,,,,,,,,,,,,
revenue_per_order,2011-09-25,low,0.503,184.23139951320843,52.30717422000133,manual_review_required,revenue_per_order anomaly on 2011-09-25 requires manual investigation - ratio KPI cannot be directly segmented.,,,,,,,,,,,,,
total_revenue,2011-09-25,low,0.549,165586.901,103.124547938087,analysed,total_revenue was 103.1% above expected on 2011-09-25. Primary driver: Country=United Kingdom accounted for 52.9% of the deviation.,"Country, StockCode, HourOfDay",Country,United Kingdom,52.9,87676.78,HourOfDay,11,27.8,46043.07,HourOfDay,10,18.3,30287.47
units_sold,2011-09-25,low,0.551,78342.0,90.33068905082555,analysed,units_sold was 90.3% above expected on 2011-09-25. Primary driver: Country=United Kingdom accounted for 42.1% of the deviation.,"Country, HourOfDay",Country,United Kingdom,42.1,32952.75,HourOfDay,11,27.8,21781.15,HourOfDay,10,14.4,11243.63
units_sold,2011-10-09,low,0.512,71748.0,82.72760815422932,analysed,units_sold was 82.7% above expected on 2011-10-09. Primary driver: Country=United Kingdom accounted for 67.9% of the deviation.,"Country, StockCode, HourOfDay",Country,United Kingdom,67.9,48716.75,HourOfDay,10,20.3,14542.63,HourOfDay,12,18.1,13013.77
active_customers,2011-11-13,medium,0.764,260.0,85.24590163934425,analysed,active_customers was 85.2% above expected on 2011-11-13. Primary driver: Country=United Kingdom accounted for 143.3% of the deviation.,"Country, StockCode, HourOfDay",Country,United Kingdom,143.3,372.63,StockCode,23084,30.1,78.35,HourOfDay,12,22.8,59.29
order_count,2011-11-13,low,0.569,337.0,75.90090090090091,analysed,order_count was 75.9% above expected on 2011-11-13. Primary driver: Country=United Kingdom accounted for 53.2% of the deviation.,"Country, StockCode, HourOfDay",Country,United Kingdom,53.2,179.24,StockCode,23084,25.4,85.48,StockCode,22086,17.1,57.55
total_revenue,2011-11-13,medium,0.606,185990.32,115.83143083799932,analysed,total_revenue was 115.8% above expected on 2011-11-13. Primary driver: Country=United Kingdom accounted for 71.4% of the deviation.,"Country, StockCode, HourOfDay",Country,United Kingdom,71.4,132858.01,HourOfDay,17,34.4,63923.16,HourOfDay,10,10.3,19191.88
units_sold,2011-11-13,medium,0.621,90269.0,104.08287980813576,analysed,units_sold was 104.1% above expected on 2011-11-13. Primary driver: Country=United Kingdom accounted for 64.0% of the deviation.,"Country, StockCode, HourOfDay",Country,United Kingdom,64.0,57800.75,HourOfDay,17,23.7,21401.14,HourOfDay,10,9.6,8646.63
active_customers,2011-11-20,high,0.874,309.0,101.31147540983608,analysed,active_customers was 101.3% above expected on 2011-11-20. Primary driver: Country=United Kingdom accounted for 126.1% of the deviation.,"Country, StockCode, HourOfDay",Country,United Kingdom,126.1,389.63,StockCode,23084,28.9,89.35,HourOfDay,13,20.5,63.21
order_count,2011-11-20,high,0.831,450.0,101.35135135135135,analysed,order_count was 101.4% above expected on 2011-11-20. Primary driver: Country=United Kingdom accounted for 56.9% of the deviation.,"Country, StockCode, HourOfDay",Country,United Kingdom,56.9,256.24,StockCode,23084,21.2,95.48,StockCode,22086,14.6,65.55
total_revenue,2011-11-20,high,0.801,219837.7500000001,136.9110023290803,analysed,total_revenue was 136.9% above expected on 2011-11-20. Primary driver: Country=United Kingdom accounted for 65.1% of the deviation.,"Country, StockCode, HourOfDay",Country,United Kingdom,65.1,143185.63,HourOfDay,17,26.6,58402.92,HourOfDay,15,15.0,32926.19
units_sold,2011-11-20,medium,0.634,92488.0,106.64145374042984,analysed,units_sold was 106.6% above expected on 2011-11-20. Primary driver: Country=United Kingdom accounted for 58.1% of the deviation.,"Country, StockCode, HourOfDay",Country,United Kingdom,58.1,53718.75,HourOfDay,17,19.7,18184.14,HourOfDay,15,13.1,12075.82
active_customers,2011-11-27,low,0.558,213.0,69.83606557377048,analysed,active_customers was 69.8% above expected on 2011-11-27. Primary driver: Country=United Kingdom accounted for 164.6% of the deviation.,"Country, StockCode, HourOfDay",Country,United Kingdom,164.6,350.63,StockCode,23084,31.6,67.35,StockCode,22086,28.6,60.82
order_count,2011-11-27,low,0.53,310.0,69.81981981981981,analysed,order_count was 69.8% above expected on 2011-11-27. Primary driver: Country=United Kingdom accounted for 61.0% of the deviation.,"Country, StockCode, HourOfDay",Country,United Kingdom,61.0,189.24,StockCode,23084,24.3,75.48,StockCode,22086,21.8,67.55
units_sold,2011-11-27,low,0.537,75840.0,87.44580758232635,analysed,units_sold was 87.4% above expected on 2011-11-27. Primary driver: Country=United Kingdom accounted for 67.6% of the deviation.,"Country, StockCode, HourOfDay",Country,United Kingdom,67.6,51275.75,HourOfDay,15,24.7,18755.82,HourOfDay,10,12.1,9139.63
active_customers,2011-12-04,high,0.802,277.0,90.81967213114754,analysed,active_customers was 90.8% above expected on 2011-12-04. Primary driver: Country=United Kingdom accounted for 145.0% of the deviation.,"Country, StockCode, HourOfDay",Country,United Kingdom,145.0,401.63,StockCode,23084,30.1,83.35,StockCode,22086,22.7,62.82
order_count,2011-12-04,medium,0.731,380.0,85.58558558558559,analysed,order_count was 85.6% above expected on 2011-12-04. Primary driver: Country=United Kingdom accounted for 65.6% of the deviation.,"Country, StockCode, HourOfDay",Country,United Kingdom,65.6,249.24,StockCode,23084,23.0,87.48,StockCode,22086,18.8,71.55
total_revenue,2011-12-04,low,0.531,159305.16999999998,99.21239869360257,analysed,total_revenue was 99.2% above expected on 2011-12-04. Primary driver: Country=United Kingdom accounted for 73.8% of the deviation.,"Country, StockCode, HourOfDay",Country,United Kingdom,73.8,117604.63,HourOfDay,16,23.4,37295.92,HourOfDay,15,18.8,29930.72
units_sold,2011-12-11,low,0.522,73438.0,84.67622913015404,analysed,units_sold was 84.7% above expected on 2011-12-11. Primary driver: Country=United Kingdom accounted for 81.6% of the deviation.,"Country, StockCode, HourOfDay",Country,United Kingdom,81.6,59889.75,HourOfDay,12,17.4,12779.77,HourOfDay,15,10.3,7554.82
