kpi_name,date,actual_value,expected_value,deviation,deviation_pct,method,severity,confidence,stat_value,description
product_revenue_concentration,2011-02-13,0.2812171391653689,0.19761708432328975,0.08360005484207914,42.30406248951353,iqr,low,0.54,1.699,"product_revenue_concentration was 42.3% above expected on 2011-02-13 (actual: 0.28, expected: 0.20) — detected by iqr with 54% confidence"
avg_unit_price,2011-03-13,2.389408108907961,1.8286746631564934,0.5607334457514674,30.66337917011328,iqr,low,0.531,1.6564,"avg_unit_price was 30.7% above expected on 2011-03-13 (actual: 2.39, expected: 1.83) — detected by iqr with 53% confidence"
product_return_rate,2011-04-10,0.3326923076923077,0.20758928571428573,0.12510302197802195,60.26468155500412,zscore_and_iqr,low,0.699,1.997,"product_return_rate was 60.3% above expected on 2011-04-10 (actual: 0.33, expected: 0.21) — detected by iqr with 60% confidence [Confirmed by 2 methods: zscore, iqr]"
repeat_customer_rate,2011-05-29,0.23659305993690852,0.16428571428571428,0.07230734565119423,44.01316691811823,iqr,low,0.586,1.9294,"repeat_customer_rate was 44.0% above expected on 2011-05-29 (actual: 0.24, expected: 0.16) — detected by iqr with 59% confidence"
weekend_revenue_share,2011-06-05,0.21824852487571458,0.08584113160947074,0.13240739326624384,154.24702678504244,zscore,medium,0.531,2.7053,"weekend_revenue_share was 154.2% above expected on 2011-06-05 (actual: 0.22, expected: 0.09) — detected by zscore with 53% confidence"
product_revenue_concentration,2011-06-12,0.4781919780850462,0.19761708432328975,0.2805748937617565,141.97906761075004,zscore_and_iqr,critical,0.99,7.1968,"product_revenue_concentration was 142.0% above expected on 2011-06-12 (actual: 0.48, expected: 0.20) — detected by iqr with 99% confidence [Confirmed by 2 methods: zscore, iqr]"
avg_unit_price,2011-06-19,2.6090898779225573,1.8286746631564934,0.7804152147660639,42.67654769268698,zscore_and_iqr,high,0.808,2.5379,"avg_unit_price was 42.7% above expected on 2011-06-19 (actual: 2.61, expected: 1.83) — detected by iqr with 71% confidence [Confirmed by 2 methods: zscore, iqr]"
repeat_customer_rate,2011-07-03,0.23809523809523808,0.16428571428571428,0.0738095238095238,44.927536231884055,zscore_and_iqr,low,0.696,1.9804,"repeat_customer_rate was 44.9% above expected on 2011-07-03 (actual: 0.24, expected: 0.16) — detected by iqr with 60% confidence [Confirmed by 2 methods: zscore, iqr]"
repeat_customer_rate,2011-08-07,0.10561056105610561,0.16428571428571428,-0.05867515322960867,-35.71531066150093,iqr,low,0.504,1.5214,"repeat_customer_rate was 35.7% below expected on 2011-08-07 (actual: 0.11, expected: 0.16) — detected by iqr with 50% confidence"
revenue_per_order,2011-09-25,536.4419753289474,352.21057581573893,184.23139951320843,52.30717422000133,iqr,low,0.503,1.5167,"revenue_per_order was 52.3% above expected on 2011-09-25 (actual: 536.44, expected: 352.21) — detected by iqr with 50% confidence"
total_revenue,2011-09-25,326156.721,160569.82,165586.901,103.124547938087,iqr,low,0.549,1.7439,"total_revenue was 103.1% above expected on 2011-09-25 (actual: 326,156.72, expected: 160,569.82) — detected by iqr with 55% confidence"
units_sold,2011-09-25,165070.0,86728.0,78342.0,90.33068905082557,iqr,low,0.551,1.7562,"units_sold was 90.3% above expected on 2011-09-25 (actual: 165,070.00, expected: 86,728.00) — detected by iqr with 55% confidence"
units_sold,2011-10-09,158476.0,86728.0,71748.0,82.72760815422932,iqr,low,0.512,1.5622,"units_sold was 82.7% above expected on 2011-10-09 (actual: 158,476.00, expected: 86,728.00) — detected by iqr with 51% confidence"
active_customers,2011-11-13,565.0,305.0,260.0,85.24590163934425,zscore_and_iqr,medium,0.764,2.3202,"active_customers was 85.2% above expected on 2011-11-13 (actual: 565.00, expected: 305.00) — detected by iqr with 66% confidence [Confirmed by 2 methods: zscore, iqr]"
order_count,2011-11-13,781.0,444.0,337.0,75.90090090090091,iqr,low,0.569,1.8459,"order_count was 75.9% above expected on 2011-11-13 (actual: 781.00, expected: 444.00) — detected by iqr with 57% confidence"
total_revenue,2011-11-13,346560.14,160569.82,185990.32,115.83143083799932,iqr,medium,0.606,2.0299,"total_revenue was 115.8% above expected on 2011-11-13 (actual: 346,560.14, expected: 160,569.82) — detected by iqr with 61% confidence"
units_sold,2011-11-13,176997.0,86728.0,90269.0,104.08287980813577,iqr,medium,0.621,2.107,"units_sold was 104.1% above expected on 2011-11-13 (actual: 176,997.00, expected: 86,728.00) — detected by iqr with 62% confidence"
active_customers,2011-11-20,614.0,305.0,309.0,101.31147540983608,zscore_and_iqr,high,0.874,2.8708,"active_customers was 101.3% above expected on 2011-11-20 (actual: 614.00, expected: 305.00) — detected by iqr with 77% confidence [Confirmed by 2 methods: zscore, iqr]"
order_count,2011-11-20,894.0,444.0,450.0,101.35135135135135,zscore_and_iqr,high,0.831,2.6559,"order_count was 101.4% above expected on 2011-11-20 (actual: 894.00, expected: 444.00) — detected by iqr with 73% confidence [Confirmed by 2 methods: zscore, iqr]"
total_revenue,2011-11-20,380407.57000000007,160569.82,219837.75000000006,136.9110023290803,zscore_and_iqr,high,0.801,2.5044,"total_revenue was 136.9% above expected on 2011-11-20 (actual: 380,407.57, expected: 160,569.82) — detected by iqr with 70% confidence [Confirmed by 2 methods: zscore, iqr]"
units_sold,2011-11-20,179216.0,86728.0,92488.0,106.64145374042985,iqr,medium,0.634,2.1723,"units_sold was 106.6% above expected on 2011-11-20 (actual: 179,216.00, expected: 86,728.00) — detected by iqr with 63% confidence"
active_customers,2011-11-27,518.0,305.0,213.0,69.83606557377048,iqr,low,0.558,1.7921,"active_customers was 69.8% above expected on 2011-11-27 (actual: 518.00, expected: 305.00) — detected by iqr with 56% confidence"
order_count,2011-11-27,754.0,444.0,310.0,69.81981981981981,iqr,low,0.53,1.6523,"order_count was 69.8% above expected on 2011-11-27 (actual: 754.00, expected: 444.00) — detected by iqr with 53% confidence"
units_sold,2011-11-27,162568.0,86728.0,75840.0,87.44580758232635,iqr,low,0.537,1.6826,"units_sold was 87.4% above expected on 2011-11-27 (actual: 162,568.00, expected: 86,728.00) — detected by iqr with 54% confidence"
active_customers,2011-12-04,582.0,305.0,277.0,90.81967213114754,zscore_and_iqr,high,0.802,2.5112,"active_customers was 90.8% above expected on 2011-12-04 (actual: 582.00, expected: 305.00) — detected by iqr with 70% confidence [Confirmed by 2 methods: zscore, iqr]"
order_count,2011-12-04,824.0,444.0,380.0,85.58558558558559,zscore_and_iqr,medium,0.731,2.1541,"order_count was 85.6% above expected on 2011-12-04 (actual: 824.00, expected: 444.00) — detected by iqr with 63% confidence [Confirmed by 2 methods: zscore, iqr]"
total_revenue,2011-12-04,319874.99,160569.82,159305.16999999998,99.21239869360255,iqr,low,0.531,1.6559,"total_revenue was 99.2% above expected on 2011-12-04 (actual: 319,874.99, expected: 160,569.82) — detected by iqr with 53% confidence"
active_customers,2011-12-11,459.0,335.50943396226415,123.49056603773585,36.80688336520077,mann_kendall,high,0.99,5.4625,"active_customers shows a statistically significant upward trend (p=0.000, slope=4.5726 per period). Current value 459.00 vs series mean 335.51."
items_per_order,2011-12-11,253.4272151898734,199.23499275793515,54.19222243193826,27.200152785299252,mann_kendall,high,0.99,2.9379,"items_per_order shows a statistically significant upward trend (p=0.003, slope=1.0734 per period). Current value 253.43 vs series mean 199.23."
order_count,2011-12-11,632.0,488.6792452830189,143.32075471698113,29.328185328185324,mann_kendall,high,0.99,4.5803,"order_count shows a statistically significant upward trend (p=0.000, slope=6.0139 per period). Current value 632.00 vs series mean 488.68."
product_return_rate,2011-12-11,0.1661392405063291,0.20284951989267516,-0.03671027938634605,-18.097296659005625,mann_kendall,medium,0.99,-2.7155,"product_return_rate shows a statistically significant downward trend (p=0.007, slope=-0.0010 per period). Current value 0.17 vs series mean 0.20."
revenue_per_customer,2011-12-11,654.9133333333334,541.8128233906023,113.10050994273115,20.874461633255777,mann_kendall,medium,0.983,2.3856,"revenue_per_customer shows a statistically significant upward trend (p=0.017, slope=1.8732 per period). Current value 654.91 vs series mean 541.81."
revenue_per_order,2011-12-11,475.641170886076,371.7786681088695,103.86250277720649,27.93664932566599,mann_kendall,high,0.99,2.9992,"revenue_per_order shows a statistically significant upward trend (p=0.003, slope=1.7809 per period). Current value 475.64 vs series mean 371.78."
total_revenue,2011-12-11,300605.22000000003,183919.77233962264,116685.4476603774,63.443666864108735,mann_kendall,high,0.99,4.8862,"total_revenue shows a statistically significant upward trend (p=0.000, slope=2806.3153 per period). Current value 300,605.22 vs series mean 183,919.77."
units_sold,2011-12-11,160166.0,86728.0,73438.0,84.67622913015404,iqr,low,0.522,1.6119,"units_sold was 84.7% above expected on 2011-12-11 (actual: 160,166.00, expected: 86,728.00) — detected by iqr with 52% confidence"
units_sold,2011-12-11,160166.0,97668.8679245283,62497.1320754717,63.98879540998175,mann_kendall,high,0.99,5.2544,"units_sold shows a statistically significant upward trend (p=0.000, slope=1639.3532 per period). Current value 160,166.00 vs series mean 97,668.87."
